presion,presion_over_floor,temperature,altitude_over_sea_level_lib_bmp280,altitud_over_sea_level_lib_adafruit,altitud_over_sea_level_calculada,calculate_abs_alture,calculate_abs_alture_diff_lib_bmp280,calculate_abs_alture_diff_lib_adafruit,time
993.01471,991.25418,24.81113,176.2413,169.85137,170.53405,-15.00099,-20.27603,-14.90976,"07/25/2023, 13:59:15"
993.0062,991.25418,24.81113,176.31633,169.92341,170.60652,-14.92853,-20.201,-14.83773,"07/25/2023, 13:59:15"
993.00721,991.25418,24.81174,176.30777,169.91484,170.5979,-14.93714,-20.20956,-14.84629,"07/25/2023, 13:59:16"
993.00822,991.25418,24.81235,176.29921,169.90628,170.58928,-14.94576,-20.21812,-14.85486,"07/25/2023, 13:59:16"
993.01163,991.25418,24.81235,176.26919,169.87746,170.5603,-14.97475,-20.24814,-14.88367,"07/25/2023, 13:59:17"
993.01605,991.25418,24.81295,176.23062,169.84008,170.52269,-15.01235,-20.28671,-14.92105,"07/25/2023, 13:59:17"
993.01554,991.25418,24.81265,176.2349,169.84436,170.527,-15.00804,-20.28243,-14.91677,"07/25/2023, 13:59:18"
993.01283,991.25418,24.81204,176.25847,169.86734,170.55011,-14.98493,-20.25886,-14.8938,"07/25/2023, 13:59:18"
993.01333,991.25418,24.81235,176.25419,169.86305,170.5458,-14.98924,-20.26314,-14.89808,"07/25/2023, 13:59:19"
993.01333,991.25418,24.81235,176.25419,169.86305,170.5458,-14.98924,-20.26314,-14.89808,"07/25/2023, 13:59:19"
993.01793,991.25418,24.81204,176.21345,169.82411,170.50663,-15.02841,-20.30388,-14.93702,"07/25/2023, 13:59:20"
993.01062,991.25418,24.81174,176.27776,169.88603,170.56891,-14.96613,-20.23957,-14.87511,"07/25/2023, 13:59:20"
993.01062,991.25418,24.81174,176.27776,169.88603,170.56891,-14.96613,-20.23957,-14.87511,"07/25/2023, 13:59:21"
993.01232,991.25418,24.81174,176.26275,169.87162,170.55442,-14.98062,-20.25458,-14.88951,"07/25/2023, 13:59:21"
